아침밥/일품,아침국,아침반찬1,아침반찬2,아침김치,오전간식1,오전간식2,점심밥/일품,점심국,점심반찬1,점심반찬2,점심김치,오후간식1,오후간식2,저녁밥/일품,저녁국,저녁반찬1,저녁반찬2,저녁김치,총점
율무밥,애호박두부된장국,애호박볶음,무말랭이,깍두기,S우유(100ml),S연두부샐러드(오리엔탈드레싱),두부카레라이스,두부대합탕국,팽이버섯나물,감자그라탕,나박 김치,S채소전,S쌀음료,흰콩밥(40),떡국떡미역국,느타리버섯당근볶음,empty,비트초절이,1
흰콩밥(40),떡국떡미역국,팽이버섯나물,무말랭이,깍두기,S연두부샐러드(오리엔탈드레싱),S우유(100ml),두부카레라이스,두부대합탕국,느타리버섯당근볶음,애호박볶음,비트초절이,S채소전,S쌀음료,율무밥,애호박두부된장국,empty,감자그라탕,나박 김치,2
흰콩밥,떡국떡미역국,온두부+양념장,양배추무침,깍두기,S단감,S우유(100ml),두부카레라이스,실파장국,시금치프리타타,새싹채소샐러드,비트초절이,S파프리카스틱,S오렌지주스,율무밥,애호박두부된장국,닭살찹스테이크,감자그라탕,나박 김치,5
흰콩밥,떡국떡미역국,두부양념조림,베이컨감자볶음,깍두기,S삶은달걀,S우유(100ml),두부카레라이스,미소된장국,시금치프리타타,파프리카콘샐러드,비트초절이,S채소전,S쌀음료,율무밥,애호박두부된장국,연어구이+타르타르소스,감자그라탕,나박 김치,5
돈육양배추덮밥,만두국,봄동해물전,가지양념찜,단무지무침,S단호박식혜,S고구마쉐이크,찹쌀밥,두부전골,주꾸미채소간장볶음,느타리버섯나물,열무 물김치,S건포도감자볼,empty,옥수수밥(30),맑은가쓰오부시장국,돈사태찜,empty,열무 김치,1
옥수수밥(30),만두국,주꾸미채소간장볶음,empty,단무지무침,empty,S고구마쉐이크,돈육양배추덮밥,맑은가쓰오부시장국,봄동해물전,느타리버섯나물,열무 물김치,S건포도감자볼,S단호박식혜,찹쌀밥,두부전골,돈사태찜,가지양념찜,열무 김치,4
옥수수밥,만두국,주꾸미채소간장볶음,새싹채소샐러드,백김치,empty,S호두우유,돈육양배추덮밥,맑은가쓰오부시장국,봄동해물전,느타리버섯나물,열무 물김치,S수박,S단호박식혜,찹쌀밥,두부전골,돈사태찜,가지양념찜,나박 김치,5
옥수수밥,만두국,주꾸미채소간장볶음,돌나물오이무침,백김치,empty,S고구마쉐이크,방울토마토새우볶음밥,맑은가쓰오부시장국,봄동해물전,양상추사과샐러드,열무 물김치,S단호박설기,S식혜,찹쌀밥,두부전골,돈사태찜,콩나물잡채,열무 김치,5
쇠고기가지덮밥,모듬버섯찌개,오징어부추전,고구마순된장무침,총각 김치,S수제바나나우유,S쌀음료,수수밥(30),부추맑은국,가지양념무침,애호박건새우볶음,깍두기,S연두부샐러드(오리엔탈드레싱),empty,찹쌀밥(추가),팥죽,채소크로켓,크림떡볶이,비트초절이,1
찹쌀밥(추가),팥죽,가지양념무침,애호박건새우볶음,깍두기,S연두부샐러드(오리엔탈드레싱),S쌀음료,쇠고기가지덮밥,부추맑은국,오징어부추전,고구마순된장무침,총각 김치,empty,S수제바나나우유,수수밥(30),모듬버섯찌개,채소크로켓,크림떡볶이,비트초절이,3
백미밥,갈비탕,채소크로켓,애호박건새우볶음,깍두기,S과일샐러드(요거트드레싱),S레몬주스,쇠고기가지덮밥,부추맑은국,오징어부추전,고구마순된장무침,총각 김치,empty,S우유(100ml),수수밥,모듬버섯찌개,크림떡볶이,양상추딸기샐러드,비트초절이,5
백미밥,호박양파국,비엔나채소볶음,김가루무침,깍두기,S과일샐러드(요거트드레싱),empty,해물버섯덮밥,부추맑은국,튀김만두+초간장,파프리카콘샐러드,나박 김치,empty,S수제바나나우유,수수밥,양송이스프,두부함박스테이크,크림떡볶이,비트초절이,5
돈육양배추덮밥,두부전골,양념가지찜,돈사태찜,나박 김치,S식혜,S크림소스스파게티,잡곡밥(40),느타리버섯맑은국,파프리카유자청무침,애호박볶음,단무지무침,S건포도감자볼,S고구마쉐이크,찹쌀밥,만두순두부찌개,매콤콩나물무침,느타리버섯나물,열무 물김치,1
잡곡밥(40),두부전골,느타리버섯나물,양념가지찜,나박 김치,S건포도감자볼,S고구마쉐이크,돈육양배추덮밥,느타리버섯맑은국,애호박볶음,파프리카유자청무침,단무지무침,S크림소스스파게티,S식혜,찹쌀밥,만두순두부찌개,돈사태찜,매콤콩나물무침,열무 물김치,3
잡곡밥,두부전골,삼치레몬구이,양념가지찜,나박 김치,S치즈,S고구마쉐이크,돈육양배추덮밥,채소스프,애호박볶음,파프리카유자청무침,단무지무침,S방울토마토,S식혜,찹쌀밥,만두순두부찌개,돈사태찜,매콤콩나물무침,열무 물김치,5
잡곡밥,두부전골,삼치레몬구이,양념가지찜,나박 김치,S단호박설기,S유자차,쇠고기잡채덮밥,달걀팟국,궁중떡볶음,파프리카유자청무침,단무지무침,S치즈,S오렌지주스,찹쌀밥,연두부된장찌개,돈사태찜,매콤콩나물무침,열무 물김치,5
옥수수밥(30),차돌박이된장국,주꾸미채소간장볶음,얼갈이배추겉절이,비트초절이,S알리오올리오스파게티,S유자차,찹쌀밥(추가),두부감잣국,크림떡볶이,무말랭이,깍두기,S우유미숫가루,S연두부샐러드(오리엔탈드레싱),율무밥,느타리버섯국,다시마감자채전,empty,총각 김치,1
찹쌀밥(추가),두부감잣국,empty,무말랭이,총각 김치,S연두부샐러드(오리엔탈드레싱),S우유미숫가루,옥수수밥(30),차돌박이된장국,크림떡볶이,다시마감자채전,깍두기,S알리오올리오스파게티,S유자차,율무밥,느타리버섯국,주꾸미채소간장볶음,얼갈이배추겉절이,비트초절이,2
찹쌀밥,두부감잣국,삼색달걀찜,새싹채소샐러드,총각 김치,S파프리카스틱,S우유(150ml),옥수수밥,차돌박이된장국,크림떡볶이,다시마감자채전,깍두기,empty,S유자차,율무밥,느타리버섯국,주꾸미채소간장볶음,얼갈이배추겉절이,비트초절이,5
찹쌀밥,두부감잣국,돈육간장불고기,김무침,총각 김치,empty,S우유(150ml),옥수수밥,차돌박이된장국,돼지목살구이,상추초무침,나박 김치,S절편,S유자차,율무밥,온청포묵국,주꾸미채소간장볶음,얼갈이배추겉절이,비트초절이,5
찹쌀팥밥,참외미역냉국,매콤콩나물무침,파래자반,열무 김치,S건포도감자볼,S식혜,밤콩밥(30),두부전골,두부채소굴소스볶음,애호박볶음,나박 김치,S고구마쉐이크,S쇠고기미역죽,돈육양배추덮밥,낙지연포탕,애호박나물,양념가지찜,오이소박이김치,1
밤콩밥(30),두부전골,두부채소굴소스볶음,애호박볶음,열무 김치,S쇠고기미역죽,S고구마쉐이크,돈육양배추덮밥,참외미역냉국,매콤콩나물무침,애호박나물,나박 김치,S건포도감자볼,S식혜,찹쌀팥밥,낙지연포탕,양념가지찜,파래자반,오이소박이김치,2
밤콩밥,두부전골,돈육양송이장조림,애호박볶음,열무 김치,S치즈,S고구마쉐이크,돈육양배추덮밥,실파장국,닭봉구이,애호박나물,나박 김치,S오렌지,S식혜,찹쌀팥밥,낙지연포탕,돼지고기떡갈비구이,파래자반,오이소박이김치,5
밤콩밥,우렁이된장국,닭봉소스조림,애호박볶음,열무 김치,S옥수수씨리얼,S우유(150ml),쇠불고기덮밥,유부팽이국,단호박튀김,양상추과일샐러드,나박 김치,S건포도감자볼,S식혜,찹쌀팥밥,낙지연포탕,돼지고기수육,파래자반,오이소박이김치,5
수수밥(30),미역만두국,연근채소전,연근흑임자샐러드,동치미,S팥죽,S참외샐러드,찹쌀밥,애호박새우젓국찌개,도라지나물,empty,단무지,S쌀음료,S우유(100ml),찹쌀밥(추가),미니유부우동,깻잎육전,empty,총각 김치,1
찹쌀밥(추가),애호박새우젓국찌개,empty,연근흑임자샐러드,동치미,S팥죽,S쌀음료,수수밥(30),미니유부우동,연근채소전,empty,단무지,S참외샐러드,S우유(100ml),찹쌀밥,미역만두국,깻잎육전,도라지나물,총각 김치,2
찹쌀밥,애호박새우젓국찌개,닭찜,연근흑임자샐러드,동치미,S수박,empty,닭가슴살파프리카볶음밥,미니유부우동,연근채소전,과일샐러드,비트초절이,S사과,S우유(150ml),찹쌀밥,미역만두국,깻잎육전,도라지나물,총각 김치,5
찹쌀밥,애호박새우젓국찌개,삼치데리야끼구이,연근흑임자샐러드,동치미,S모닝빵+딸기잼,S포도주스,수수밥,북어채무국,돼지고기파프리카볶음,숙주당근나물,백김치,S사과,S우유(100ml),찹쌀밥,미역만두국,깻잎육전,청포묵김가루무침,총각 김치,5
밤콩밥,만둣국,토마토치즈샐러드,팽이버섯나물,비트초절이,S보리차,S연두부샐러드(오리엔탈드레싱),쇠고기가지덮밥,김치두부국,소불고기,애호박콩가루볶음,깻잎김치,S수제바나나우유,empty,찹쌀밥(30),팥죽,가지나물무침,단배추멸치조림,콜라비나박김치,1
찹쌀밥(30),팥죽,애호박콩가루볶음,팽이버섯나물,깻잎김치,S연두부샐러드(오리엔탈드레싱),S보리차,쇠고기가지덮밥,김치두부국,토마토치즈샐러드,단배추멸치조림,비트초절이,empty,S수제바나나우유,밤콩밥,만둣국,소불고기,가지나물무침,콜라비나박김치,5
찹쌀밥(30),팥죽,애호박콩가루볶음,팽이버섯나물,깻잎김치,S파프리카스틱,S호두우유,쇠고기가지덮밥,채소스프,empty,토마토치즈샐러드,비트초절이,empty,S수제바나나우유,밤콩밥,만둣국,소불고기,가지나물무침,콜라비나박김치,5
찹쌀밥,쇠고기우거지국,채소달걀찜,(저염·저당)메추리알케첩조림,깻잎김치,S연두부샐러드(오리엔탈드레싱),S보리차,쇠고기콩나물밥+양념장,유부맑은국,깻잎동태포전,실곤약채소무침,나박 김치,empty,S수제바나나우유,밤콩밥,만둣국,소불고기,가지나물무침,콜라비나박김치,5
잡곡밥(40),실파콩나물국,달걀채소볶음,무말랭이,열무 물김치,S버섯장국죽,S우유미숫가루,새우편마늘볶음밥,아욱맑은국,게살마요무침,마카로니채소샐러드(마요네즈),깍두기,S건포도감자볼,S쌀음료,백미밥(추가),맑은가쓰오부시장국,참나물겉절이,돈육자장볶음,석박지,1
백미밥(추가),실파콩나물국,달걀채소볶음,무말랭이,열무 물김치,S버섯장국죽,S우유미숫가루,새우편마늘볶음밥,맑은가쓰오부시장국,게살마요무침,마카로니채소샐러드(마요네즈),깍두기,S건포도감자볼,S쌀음료,잡곡밥(40),아욱맑은국,돈육자장볶음,참나물겉절이,석박지,3
백미밥,다진소고기콩나물국,달걀채소볶음,무말랭이,열무 물김치,S오렌지,S우유미숫가루,새우편마늘볶음밥,맑은가쓰오부시장국,게살마요무침,마카로니채소샐러드(마요네즈),깍두기,S건포도감자볼,S쌀음료,잡곡밥,아욱맑은국,돈육자장볶음,참나물겉절이,석박지,5
백미밥,실파콩나물국,달걀채소볶음,도토리묵김무침,열무 물김치,empty,S우유미숫가루,새우편마늘볶음밥,맑은가쓰오부시장국,떡범벅,게살마요무침,깍두기,S건포도감자볼,S쌀음료,잡곡밥,아욱맑은국,돈육자장볶음,참나물겉절이,석박지,5
흰콩밥(40),콩나물육개장,볼어묵채소조림,더덕사과무침,갓 김치,S코코아,S수제바나나우유,율무밥,감자국,양배추유자청샐러드,가지나물무침,총각 김치,S연두부샐러드(오리엔탈드레싱),S소고기우엉죽,쇠고기가지덮밥,아욱우렁된장국,팽이버섯달걀전,매콤콩나물무침,비트초절이,1
흰콩밥(40),아욱우렁된장국,팽이버섯달걀전,더덕사과무침,갓 김치,S소고기우엉죽,S수제바나나우유,쇠고기가지덮밥,감자국,가지나물무침,양배추유자청샐러드,비트초절이,S연두부샐러드(오리엔탈드레싱),S코코아,율무밥,콩나물육개장,볼어묵채소조림,매콤콩나물무침,총각 김치,3
흰콩밥,아욱우렁된장국,팽이버섯달걀전,더덕사과무침,갓 김치,S오렌지,S우유(100ml),쇠고기가지덮밥,감자국,가지구이,양배추유자청샐러드,비트초절이,S연두부샐러드(오리엔탈드레싱),S코코아,율무밥,콩나물육개장,돼지고기단호박찜,매콤콩나물무침,총각 김치,5
흰콩밥,아욱우렁된장국,팽이버섯달걀전,더덕사과무침,깍두기,S바나나,empty,시금치쇠고기덮밥,숙주미소장국,소떡소떡,양배추유자청샐러드,비트초절이,S롤빵,S코코아,율무밥,콩나물육개장,돈육찹쌀구이,볼어묵채소조림,총각 김치,5
찹쌀밥(추가),만두국,애호박건새우볶음,냉이무침,깍두기,S보리차,S마카로니채소샐러드,쇠고기비빔밥,느타리버섯국,건새우애호박볶음,닭가슴살데리야끼조림,깻잎김치,S우유(100ml),S팥죽,팥밥(30),애호박맑은국,파프리카유자청무침,empty,오이소박이김치,1
팥밥(30),애호박맑은국,empty,애호박건새우볶음,깻잎김치,S팥죽,S보리차,쇠고기비빔밥,느타리버섯국,건새우애호박볶음,냉이무침,깍두기,S마카로니채소샐러드,S우유(100ml),찹쌀밥(추가),만두국,닭가슴살데리야끼조림,파프리카유자청무침,오이소박이김치,3
팥밥(30),팥죽,모듬장조림,마카로니채소샐러드,깻잎김치,S키위,S떠먹는요구르트(100ml),쇠고기비빔밥,느타리버섯국,건새우애호박볶음,냉이무침,깍두기,S배,S우유(100ml),찹쌀밥,만두국,닭가슴살데리야끼조림,파프리카유자청무침,오이소박이김치,5
팥밥,애호박맑은국,돈육케찹조림,무나물,깻잎김치,S키위,S떠먹는요구르트(100ml),쇠고기비빔밥,두부미소장국,오징어완자전,참나물토마토샐러드,깍두기,empty,S우유(100ml),찹쌀밥,버섯샤브샤브,닭가슴살데리야끼조림,파프리카유자청무침,오이소박이김치,5
밤콩밥(30),만두닭개장,양념가지찜,(고춧가루제외)부추사과무침,비트초절이,S복숭아호두스무디,S연두부샐러드(오리엔탈드레싱),찹쌀밥,미역만두국,배무생채,empty,총각 김치,S두부채소죽,S쌀음료,돈육양배추덮밥,감자달걀국,무말랭이,empty,나박 김치,1
찹쌀밥,미역만두국,empty,(고춧가루제외)부추사과무침,총각 김치,S두부채소죽,S복숭아호두스무디,돈육양배추덮밥,감자달걀국,empty,무말랭이,비트초절이,S연두부샐러드(오리엔탈드레싱),S쌀음료,밤콩밥(30),만두닭개장,배무생채,양념가지찜,나박 김치,3
찹쌀밥,미역만두국,달걀찜,배무생채,총각 김치,S포도,S우유(100ml),돈육양배추덮밥,감자달걀국,고구마튀김,사과샐러드(발사믹드레싱),비트초절이,S오렌지,S떠먹는요구르트(100ml),밤콩밥,만두닭개장,돈육사태찜,가지무침,나박 김치,5
찹쌀밥,북어챗국,쇠고기달걀장조림,참치감자볶음,총각 김치,empty,S복숭아호두스무디,게살파인애플볶음밥,감자달걀국,고구마튀김,사과샐러드(발사믹드레싱),비트초절이,S블루베리,S떠먹는요구르트(100ml),밤콩밥,닭곰탕,돈육연근찜,부추나물,나박 김치,5
소고기김주먹밥,실파김국,주꾸미떡볶음,팽이버섯달걀전,열무 물김치,S우유(200ml),S대추우유스프,율무밥(40),감잣국,웨지감자,도토리묵상추무침,깍두기,S단호박식혜,S과일샐러드(마요네즈),흰콩밥,부추맑은국,미나리무침,감자햄볶음,깻잎김치,1
소고기김주먹밥,실파김국,웨지감자,미나리무침,열무 물김치,S대추우유스프,S단호박식혜,율무밥(40),감잣국,팽이버섯달걀전,도토리묵상추무침,깍두기,S과일샐러드(마요네즈),S우유(200ml),흰콩밥,부추맑은국,주꾸미떡볶음,감자햄볶음,깻잎김치,4
소고기김주먹밥,실파김국,웨지감자,바나나사과키위샐러드,열무 물김치,S멜론,S단호박식혜,율무밥,감잣국,팽이버섯달걀전,도토리묵상추무침,깍두기,empty,S우유(200ml),흰콩밥,부추맑은국,주꾸미떡볶음,감자햄볶음,깻잎김치,5
율무밥,순두부백탕,팽이버섯달걀전,도토리묵상추무침,깍두기,S대추우유스프,empty,소고기김주먹밥,실파김국,웨지감자,사과샐러드(발사믹드레싱),열무 물김치,S복숭아,S요구르트,흰콩밥,부추맑은국,주꾸미떡볶음,감자햄볶음,깻잎김치,5
찹쌀밥(추가),만두국,도라지무침,채소크로켓,오이소박이김치,S쌀음료,S소고기우엉죽,수수밥(30),애호박맑은국,냉이무침,느타리버섯나물,열무 김치,S마카로니채소샐러드,S수제바나나우유,일본식쇠고기덮밥(규동),모듬버섯찌개,감자어묵볶음,건새우애호박볶음,비트초절이,1
수수밥(30),만두국,감자어묵볶음,도라지무침,오이소박이김치,S소고기우엉죽,S쌀음료,일본식쇠고기덮밥(규동),애호박맑은국,채소크로켓,느타리버섯나물,열무 김치,S마카로니채소샐러드,S수제바나나우유,찹쌀밥(추가),모듬버섯찌개,냉이무침,건새우애호박볶음,비트초절이,3
수수밥,소고기숙주국,감자어묵볶음,도라지무침,오이소박이김치,S배,S우유(150ml),일본식쇠고기덮밥(규동),애호박맑은국,채소크로켓,마카로니채소샐러드(마요네즈),열무 김치,empty,S수제바나나우유,찹쌀밥,모듬버섯찌개,돼지고기편육,냉이무침,비트초절이,5
수수밥,사골팟국,두부달걀전,감자어묵볶음,깍두기,S복숭아,S쌀음료,다진쇠고기김치볶음밥,애호박맑은국,채소크로켓,오이토마토샐러드(발사믹드레싱),열무 김치,empty,S수제바나나우유,찹쌀밥,모듬버섯찌개,돼지고기파프리카볶음,숙주나물무침,오이소박이김치,5
찹쌀현미밥(30),청국장찌개,도라지배무침,아욱건새우전,동치미,S건포도감자볼,S우유(100ml),쇠고기가지덮밥,김치두부찌개,애호박생선살찜,마카로니콘샐러드,열무 물김치,S토마토주스,S팥죽,밤콩밥,두부전골,우엉채곤약조림,매콤주꾸미볶음,깍두기,1
찹쌀현미밥(30),청국장찌개,아욱건새우전,도라지배무침,동치미,S팥죽,S토마토주스,쇠고기가지덮밥,두부전골,애호박생선살찜,마카로니콘샐러드,열무 물김치,S건포도감자볼,S우유(100ml),밤콩밥,김치두부찌개,매콤주꾸미볶음,우엉채곤약조림,깍두기,3
찹쌀현미밥,청국장찌개,아욱건새우전,도라지배무침,동치미,empty,S토마토주스,쇠고기가지덮밥,두부전골,달걀찜,마카로니콘샐러드,열무 물김치,S수박,S우유(100ml),밤콩밥,김치두부찌개,매콤주꾸미볶음,우엉채곤약조림,깍두기,5
찹쌀현미밥,청국장찌개,아욱건새우전,도라지배무침,동치미,empty,S토마토주스,쇠고기가지덮밥,실파달걀국,춘권튀김,마카로니콘샐러드,열무 물김치,S건포도감자볼,S우유(100ml),밤콩밥,김치두부찌개,매콤주꾸미볶음,우엉채곤약조림,깍두기,5
찹쌀밥(추가),팥죽,비빔만두,냉이무침,비트초절이,S수제바나나우유,S쌀음료,브로콜리채소볶음밥,미니유부우동,오징어새우볶음,empty,총각 김치,S치즈게살죽,S연두부샐러드(오리엔탈드레싱),수수밥(30),사골팟국,건새우애호박볶음,empty,오이소박이김치,1
찹쌀밥(추가),팥죽,empty,냉이무침,총각 김치,S치즈게살죽,S수제바나나우유,브로콜리채소볶음밥,미니유부우동,비빔만두,empty,비트초절이,S연두부샐러드(오리엔탈드레싱),S쌀음료,수수밥(30),사골팟국,오징어새우볶음,건새우애호박볶음,오이소박이김치,3
찹쌀밥,갈비탕,치즈달걀말이,냉이무침,총각 김치,S사과,S수제바나나우유,브로콜리채소볶음밥,미니유부우동,비빔만두,사과오렌지샐러드(요거트드레싱),비트초절이,S오렌지,S망고주스,수수밥,사골팟국,오징어새우볶음,건새우애호박볶음,오이소박이김치,5
찹쌀밥,두부김칫국,치즈달걀말이,청포묵김가루무침,총각 김치,empty,S수제바나나우유,브로콜리채소볶음밥,미니유부우동,비빔만두,그린샐러드,비트초절이,S딸기,empty,수수밥,사골팟국,오징어새우볶음,햄알감자버터구이,깍두기,5
백미밥(추가),만두국,크래미채소볶음,애호박건새우볶음,열무 물김치,S우유(100ml),S단호박식혜,찹쌀밥(30),모듬버섯찌개,도라지무침,참외노각무침,깍두기,S소고기우엉죽,S건포도감자볼,밤콩밥,감자양팟국,너비아니채소볶음,모듬튀김,나박 김치,1
백미밥(추가),감자양팟국,크래미채소볶음,애호박건새우볶음,열무 물김치,S소고기우엉죽,S단호박식혜,찹쌀밥(30),만두국,도라지무침,참외노각무침,깍두기,S건포도감자볼,S우유(100ml),밤콩밥,모듬버섯찌개,너비아니채소볶음,모듬튀김,나박 김치,4
백미밥,감자양팟국,크래미채소볶음,애호박건새우볶음,열무 물김치,S수박,S식혜,찹쌀밥,만두국,쇠고기버섯볶음,숙수초무침,깍두기,empty,S우유(150ml),밤콩밥,모듬버섯찌개,너비아니채소볶음,모듬튀김,나박 김치,5
백미밥,감자양팟국,쇠고기사태장조림,크래미채소볶음,열무 물김치,S과일샐러드(요거트드레싱),empty,찹쌀밥,콩가루쑥국,(저염·저당)찜닭,참외노각무침,깍두기,S건포도감자볼,S우유(100ml),밤콩밥,모듬버섯찌개,너비아니채소볶음,모듬튀김,나박 김치,5
찹쌀팥밥(40),두부대합탕국,명엽채고추장조림,주꾸미볶음,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S우유미숫가루,찹쌀밥(추가),콩가루쑥국,파프리카유자청무침,무말랭이,비트초절이,S매실차,S쇠고기브로콜리죽,흰콩밥,맑은꽃게탕,미나리무침,애호박콩가루볶음,총각 김치,1
찹쌀밥(추가),콩가루쑥국,파프리카유자청무침,명엽채고추장조림,오이소박이김치,S쇠고기브로콜리죽,S우유미숫가루,찹쌀팥밥(40),두부대합탕국,미나리무침,무말랭이,비트초절이,S연두부샐러드(오리엔탈드레싱),S매실차,흰콩밥,맑은꽃게탕,주꾸미볶음,애호박콩가루볶음,총각 김치,3
찹쌀밥,콩가루쑥국,쇠고기달걀장조림,명엽채고추장조림,오이소박이김치,과일샐러드,S우유미숫가루,찹쌀팥밥,두부대합탕국,돈육사태찜,파프리카유자청무침,비트초절이,S포도,S매실차,흰콩밥,맑은꽃게탕,주꾸미볶음,애호박콩가루볶음,총각 김치,5
찹쌀밥,콩가루쑥국,시금치달걀찜,명엽채고추장조림,오이소박이김치,empty,S우유미숫가루,찹쌀팥밥,두부대합탕국,파돼지불고기,파프리카유자청무침,백김치,S연두부샐러드(오리엔탈드레싱),S매실차,흰콩밥,맑은꽃게탕,주꾸미볶음,애호박콩가루볶음,총각 김치,5
쇠고기가지덮밥,만두국,건새우애호박볶음,채소크로켓,깍두기,S우유(100ml),S미숫가루,밤콩밥,애호박맑은국,고구마순된장무침,과일땅콩샐러드,나박 김치,S참외샐러드,empty,고구마밥(30),조랭이미역국,우엉채곤약조림,empty,열무 물김치,1
고구마밥(30),조랭이미역국,건새우애호박볶음,고구마순된장무침,깍두기,S참외샐러드,S우유(100ml),쇠고기가지덮밥,애호박맑은국,채소크로켓,과일땅콩샐러드,나박 김치,empty,S미숫가루,밤콩밥,만두국,empty,우엉채곤약조림,열무 물김치,2
고구마밥,버섯육개장,닭다리카레찜,고구마순된장무침,깍두기,S참외샐러드,S우유(200ml),쇠고기가지덮밥,애호박맑은국,채소크로켓,사과샐러드(발사믹드레싱),나박 김치,S사과,S미숫가루,밤콩밥,대구살맑은국,애호박쇠고기찜,우엉채곤약조림,열무 물김치,5
고구마밥,조랭이미역국,닭다리카레찜,고구마순된장무침,깍두기,S참외,S두유(100ml),짜장참치볶음밥,우동국물,채소크로켓,과일땅콩샐러드,나박 김치,empty,S미숫가루,밤콩밥,만두국,닭가슴살칠리떡볶음,우엉채곤약조림,열무 물김치,5
흰콩밥,채소스프,주꾸미볶음,냉이나물,총각 김치,S연두부샐러드(오리엔탈드레싱),S당근김죽,찹쌀팥밥,맑은가쓰오부시장국,모듬버섯전,무말랭이,오이 피클,S수제바나나우유,S오미자아이스크림,수수밥(30),바지락맑은국,감자어묵볶음,취나물된장무침,비트초절이,1
수수밥(30),맑은가쓰오부시장국,무말랭이,냉이나물,총각 김치,S당근김죽,S수제바나나우유,찹쌀팥밥,채소스프,모듬버섯전,감자어묵볶음,오이 피클,S연두부샐러드(오리엔탈드레싱),S오미자아이스크림,흰콩밥,바지락맑은국,주꾸미볶음,취나물된장무침,비트초절이,3
수수밥,대구살맑은국,온두부+양념장,김무침,총각 김치,S오렌지,S우유(200ml),찹쌀팥밥,채소스프,모듬버섯전,감자어묵볶음,나박 김치,S연두부샐러드(오리엔탈드레싱),S오미자아이스크림,흰콩밥,바지락맑은국,주꾸미볶음,취나물된장무침,비트초절이,5
수수밥,대구살맑은국,온두부+양념장,삼색나물,총각 김치,empty,S수제바나나우유,찹쌀팥밥,바지락맑은국,닭간장조림,감자어묵볶음,백김치,S오미자아이스크림,empty,흰콩밥,쇠고기탕국,주꾸미볶음,취나물된장무침,비트초절이,5
팥밥(30),미역만두국,고구마순된장무침,empty,열무 물김치,S쌀음료,S팥죽,옥수수밥,만둣국,감자샐러드,empty,나박 김치,S건포도감자볼,S우유(150ml),쇠고기가지덮밥,깻잎된장찌개,애호박볶음,empty,깍두기,1
팥밥(30),만둣국,empty,고구마순된장무침,열무 물김치,S팥죽,S쌀음료,쇠고기가지덮밥,미역만두국,empty,감자샐러드,나박 김치,S건포도감자볼,S우유(150ml),옥수수밥,깻잎된장찌개,empty,애호박볶음,깍두기,2
팥밥,미역만두국,두부찜,고구마순된장무침,열무 물김치,S키위,S오렌지주스,쇠고기가지덮밥,맑은가쓰오부시장국,감자버터구이,감자샐러드,나박 김치,empty,S우유(150ml),옥수수밥,깻잎된장찌개,닭살카레찜,애호박볶음,깍두기,5
팥밥,단호박무국,닭고기간장조림,브로콜리무침,열무 물김치,S팥죽,S쌀음료,짜장참치볶음밥,맑은가쓰오부시장국,양파링튀김,감자샐러드,나박 김치,S건포도감자볼,S우유(150ml),옥수수밥,깻잎된장찌개,훈제오리구이+무쌈,애호박볶음,깍두기,5
옥수수밥(30),팥죽,건새우애호박볶음,가지양념찜,동치미,S감자샐러드,S수제바나나우유,돈육양배추덮밥,애호박젓국찌개,어묵감자조림,애호박나물,석박지,S둥글레차,S동태살죽,백미밥(추가),만두닭개장,달걀치즈말이,양배추샐러드(레몬드레싱),총각 김치,1
옥수수밥(30),팥죽,달걀치즈말이,양배추샐러드(레몬드레싱),동치미,S동태살죽,S수제바나나우유,돈육양배추덮밥,애호박젓국찌개,어묵감자조림,애호박나물,석박지,S감자샐러드,S둥글레차,백미밥(추가),만두닭개장,건새우애호박볶음,가지양념찜,총각 김치,3
옥수수밥,안매운닭개장,달걀치즈말이,양배추샐러드(레몬드레싱),백김치,S녹차밤양갱,S수제바나나우유,돈육양배추덮밥,실파장국,옥수수버터구이,고구마범벅,콜라비나박김치,S단감,S우유(100ml),백미밥,다진소고기콩나물국,삼치레몬구이,건새우애호박볶음,총각 김치,5
옥수수밥,쇠고기버섯찌개,달걀치즈말이,양배추샐러드(레몬드레싱),동치미,S동태살죽,S수제바나나우유,곤드레무밥+양념장,애호박젓국찌개,어묵감자조림,표고버섯무나물,석박지,S감자샐러드,S둥글레차,백미밥,만두닭개장,임연수엿장조림,가지양념찜,총각 김치,5
파프리카유부초밥,배추맑은국,무말랭이,매콤주꾸미볶음,열무 물김치,S연두부샐러드(오리엔탈드레싱),S우유(100ml),율무밥,만둣국,김치녹두전,애호박생선살찜,비트초절이,S검정콩두유죽,S단호박식혜,밤콩밥(40),어묵탕,양배추쌈,empty,깍두기,1
파프리카유부초밥,배추맑은국,empty,무말랭이,비트초절이,S검정콩두유죽,S단호박식혜,율무밥,만둣국,애호박생선살찜,김치녹두전,열무 물김치,S연두부샐러드(오리엔탈드레싱),S우유(100ml),밤콩밥(40),어묵탕,매콤주꾸미볶음,양배추쌈,깍두기,4
파프리카유부초밥,배추맑은국,토마토달걀볶음,코울슬로,비트초절이,S귤,S검은깨두유(100ml),율무밥,만둣국,애호박생선살찜,김치녹두전,열무 물김치,empty,S우유(150ml),밤콩밥,어묵탕,매콤주꾸미볶음,양배추쌈,깍두기,5
